GeneID	Base mean	log2(FC)	StdErr	Wald-Stats	P-Value	P-adj
gene-PA3148	1913.21699587166	1.63470366813161	0.103730519207307	15.7591389749494	5.94372458972493e-56	1.69139323201432e-54
gene-PA0174	132.640981103476	3.44884500757877	0.218859114174071	15.7582882512981	6.02426717112991e-56	1.70379580729502e-54
rna-PA3621.1	8383.29440994752	2.91016349949248	0.187001767567501	15.5622245572733	1.31449594076635e-54	3.69501602861762e-53
gene-PA1746	12534.2950271811	1.87137669258251	0.12062113006881	15.5145014104491	2.76776251765658e-54	7.7329607311496e-53
gene-PA3040	7567.05039542311	2.27561154880201	0.146965663347237	15.4839674586125	4.45152207157165e-54	1.23623594879189e-52
gene-PA2491	7959.35435004398	2.43651758060738	0.157583051570132	15.4617997070771	6.28185973811535e-54	1.73409421513244e-52
gene-PA1663	432.640221224173	2.19866082795495	0.142233769563838	15.45807887042	6.65540086409844e-54	1.82627368949368e-52
gene-PA3043	662.101155937445	1.73322511709991	0.112302733945528	15.433507771419	9.74278034178673e-54	2.65764599855839e-52
gene-PA5339	1716.62781238717	1.72593601004525	0.111971935206193	15.4140053654247	1.31784236663324e-53	3.57367841775248e-52
gene-PA3623	3242.28413130124	1.68953395802257	0.109893546770322	15.3742781780781	2.43542461037633e-53	6.56567687358764e-52
gene-PA4925	639.484115352795	1.87942205166046	0.122366703208526	15.3589334547792	3.08609866608913e-53	8.27146212248308e-52
gene-PA2365	698.89402348819	2.65737432468539	0.173119259361029	15.3499635713183	3.54385342563092e-53	9.4434475677217e-52
gene-PA1271	600.308060294512	-1.75814858132192	0.114610356351806	-15.340224367902	4.1176930368295e-53	1.09095200573471e-51
gene-PA3101	640.241427976158	2.34473055404614	0.153129044793696	15.312121597866	6.34596599452476e-53	1.67170875627195e-51
gene-PA1624	455.101166132221	1.82335729684975	0.119127958298103	15.3058721302603	6.9859237027709e-53	1.82983569714624e-51
gene-PA0861	2302.9321012575	1.38305285188913	0.090477306316754	15.2861851020096	9.4527609834949e-53	2.4619902900515e-51
gene-PA0529	905.301961407138	1.57243001085703	0.103072032194285	15.2556418786145	1.51002769368317e-52	3.91080206060642e-51
gene-PA3766	469.961261083877	-1.97547091671976	0.129517818053286	-15.2525030641499	1.58440941858146e-52	4.08051811154219e-51
gene-PA2893	658.749061088827	-2.15380567244339	0.141236017225285	-15.2496913659627	1.65413137465287e-52	4.23641424286097e-51
gene-PA1631	245.035807607559	-2.7732671768982	0.181968427354563	-15.2403755817186	1.90770583344693e-52	4.85885297911068e-51
gene-PA1658	1679.49388839938	2.03574300701537	0.13438663426097	15.1484038439574	7.76291183209379e-52	1.96631997505233e-50
gene-PA5128	1240.25178024465	1.5295450379531	0.101177991567637	15.1173690469099	1.24414898925437e-51	3.13416767238397e-50
gene-PA3488	423.216654930745	2.22669270960698	0.147420921407651	15.1043195792387	1.51663855230035e-51	3.7998389815786e-50
gene-PA0130	1243.41203367564	1.54480485686598	0.10237382071728	15.0898427551335	1.88891931711603e-51	4.70698273075941e-50
gene-PA5359	1264.03848241451	1.93817753795073	0.128517909365379	15.0809918051223	2.15999698422982e-51	5.3535409125266e-50
gene-PA1155	1827.8918020931	1.58800616343427	0.105442247645773	15.060435441106	2.94838670252407e-51	7.26848272654331e-50
gene-PA1248	737.856411562655	2.40436433777632	0.159726663496617	15.0529929389481	3.29962161063766e-51	8.09109341757427e-50
gene-PA0641	1340.38717672761	1.8740203659156	0.124913521764061	15.0025420743103	7.066036737967e-51	1.72351478105967e-49
gene-PA1623	1055.5955497042	1.48664066831461	0.0995571710283717	14.9325322622009	2.02430355201356e-50	4.91159967093817e-49
gene-PA1662	2425.90369092736	1.89417787551771	0.127433398321633	14.8640615448152	5.6399667358129e-50	1.361269458225e-48
gene-PA1297	380.783285467109	-2.59521388373622	0.174809299771346	-14.845971507985	7.38767404455778e-50	1.77381132007351e-48
gene-PA2840	1597.13937251524	-1.82841509657962	0.123186106731262	-14.8427054405446	7.75636363256145e-50	1.85268582104188e-48
gene-PA4619	694.81548759311	1.67602850950938	0.112977170841943	14.8351078100032	8.68642628020045e-50	2.06414562637753e-48
gene-PA3266	16896.3555894118	1.52031217069287	0.103254850789648	14.7238813389025	4.52902156073898e-49	1.07070714846188e-47
gene-PA4133	4324.71478952848	-1.84487146883214	0.125305103921894	-14.7230353041493	4.58605155393632e-49	1.07865804406359e-47
gene-PA4136	283.21769416364	-2.36867098597417	0.160908625073437	-14.7205967666005	4.75446070808629e-49	1.11259207432882e-47
gene-PA1777	133884.03151224	1.52983066842037	0.104170434057506	14.6858432746459	7.94397516901017e-49	1.84958209743116e-47
gene-PA1337	1612.19490731771	1.90274409120433	0.129690941466416	14.6713723386537	9.83358828334897e-49	2.26746998828293e-47
gene-PA4293	491.704274810615	1.87913846570916	0.128082199524167	14.6713475618803	9.83717999255069e-49	2.26746998828293e-47
gene-PA3451	562.159773248363	2.3460399657835	0.160564742224789	14.6111776052246	2.38361983066146e-48	5.46690916385539e-47
gene-PA1656	5629.27408794676	1.91468691625068	0.131065168239276	14.6086633235398	2.47322815599995e-48	5.64434742532662e-47
gene-PA4811	1389.29273057812	1.37429052348195	0.0941233509535339	14.6009519376376	2.76951084792692e-48	6.28938177780449e-47
gene-PA2929	335.971643434022	-4.07074888101904	0.279387482580188	-14.5702622158481	4.34221122773907e-48	9.81254596072407e-47
gene-PA5483	1503.59380886121	-1.47267063440647	0.101152222817151	-14.5589547455479	5.12352054355003e-48	1.15216730272027e-46
gene-PA0484	833.406434912337	1.76535397692	0.121267787422273	14.5574848395045	5.2348650236685e-48	1.17149163879184e-46
gene-PA2015	5038.26722999554	1.37269819656096	0.0943066128394271	14.5556939776663	5.37378119483816e-48	1.19676962841565e-46
gene-PA3819	12579.0125890149	-1.21334412347065	0.0835028349164069	-14.5305740180595	7.75677027191797e-48	1.71916879584336e-46
gene-PA5354	367.321498601115	2.86100283228784	0.197171452943016	14.5102284817808	1.0437233725902e-47	2.3021840897803e-46
gene-PA3151	769.549093967204	1.67113905169215	0.115193990842071	14.5071721144139	1.09127540191837e-47	2.39560933468747e-46
